GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2004,2004,2004,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,2086.2,2086.2 [1565.9-2579.7],1565.9,2579.7
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,40.7,40.7 [30.7-51.0],30.7,51
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,41.8,41.8 [30.9-53.4],30.9,53.4
WHS4_154,Antenatal care coverage - at least four visits (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-coverage-at-least-four-visits,2021,2019,2021,AFR,Africa,NGA,Nigeria,,,,60.4,60.4,,
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-%28per-1000-women-aged-15-19-years%29,2003,2003,2003,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,152,152,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2004,2004,2004,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,53.8,53.8 [40.4-66.5],40.4,66.5
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2011,2011,2011,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,44.2,44.2 [31.2-57.8],31.2,57.8
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2006,2006,2006,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,16252.3,16 252.3 [11 240.2-21 045.2],11240.2,21045.2
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,17298.2,17 298.2 [13 103.3-22 252.6],13103.3,22252.6
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2018,2018,2018,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,39.3,39.3 [29.5-49.6],29.5,49.6
